sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,43,,良好,1.7,0.3,65,43,59,20,4,4.3,0,2.2,326,"2024-11-30 10:00",,0.2,13.1,32,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,44,,良好,1.4,0.37,23,21,31,11,20,30.8,11.2,4.2,21,"2024-11-30 10:00",,0.3,13.7,30,1,121.61575076,23.97709367,312
新北(樹林),新北市,28,,良好,0.5,0.28,30,30,30,4,14,20.7,7,0.2,171,"2024-11-30 10:00",,0.2,5,24,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,82,細懸浮微粒,普通,4.2,0.36,56,40,54,32,13,14.5,1.8,2.4,339,"2024-11-30 10:00",,0.3,27.9,58,2,120.37722,22.35222,204
臺南（麻豆）,臺南市,107,細懸浮微粒,對敏感族群不健康,2.8,0.4,31,11,68,32,24,30.7,6.4,1.1,341,"2024-11-30 10:00",,0.4,37.9,78,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,105,細懸浮微粒,對敏感族群不健康,4,0.45,27,7,59,32,31,42,10.6,0.9,334,"2024-11-30 10:00",,0.4,37,69,2,120.24535,22.87985556,202
彰化（員林）,彰化縣,75,細懸浮微粒,普通,3.6,0.45,30,10,46,25,14,18.7,4.8,0.4,11,"2024-11-30 10:00",,0.4,25.1,50,2,120.56373,23.96117,201
大城,彰化縣,77,細懸浮微粒,普通,7,0.43,28,13,46,23,16,25.1,9.2,3.4,33,"2024-11-30 10:00",,0.5,26,53,2,120.26964167,23.85493056,85
富貴角,新北市,50,,良好,0.5,0.12,51,49,28,4,1,1,0,6.6,87,"2024-11-30 10:00",,0.1,6.7,50,0,121.53656894,25.29681695,84
麥寮,雲林縣,92,細懸浮微粒,普通,7.4,0.53,31,14,56,27,18,24.7,6.5,2.2,350,"2024-11-30 10:00",,0.4,32,59,2,120.251825,23.753506,83
關山,臺東縣,36,,良好,1.3,0.2,36,25,35,9,5,5.9,1,2.1,49,"2024-11-30 10:00",,0.1,11,28,1,121.161933,23.045083,80
馬公,澎湖縣,46,,良好,0.8,0.17,50,51,22,10,3,3.9,1.1,3.7,28,"2024-11-30 10:00",,0.1,9.8,20,1,119.566158,23.569031,78
金門,金門縣,51,細懸浮微粒,普通,1.6,0.23,42,39,53,13,12,14.5,2.3,2.3,34,"2024-11-30 10:00",,0.2,15.7,45,1,118.312256,24.432133,77
馬祖,連江縣,53,細懸浮微粒,普通,1.8,0.24,43,41,39,15,6,7.3,1.2,2.9,343,"2024-11-30 10:00",,0.3,16.2,39,1,119.952724,26.153736,75
埔里,南投縣,56,細懸浮微粒,普通,1.3,0.24,27,10,15,16,3,6.4,3.2,0.5,318,"2024-11-30 10:00",,0.2,17.4,22,1,120.967903,23.968842,72
復興,高雄市,81,細懸浮微粒,普通,2,0.58,52,28,59,29,20,23,3.1,1.1,203,"2024-11-30 10:00",,0.5,27.8,59,1,120.312017,22.608711,71
永和,新北市,33,,良好,1.3,0.35,37,37,20,9,11,16.4,5.4,2.4,82,"2024-11-30 10:00",,0.2,7.4,18,1,121.516306,25.017,70
竹山,南投縣,60,細懸浮微粒,普通,1.3,0.27,31,16,22,17,7,9.6,2.6,1,281,"2024-11-30 10:00",,0.2,19,26,1,120.677306,23.756389,69
中壢,桃園市,45,,良好,2.8,0.93,21,29,29,7,27,50.4,22.9,0.5,266,"2024-11-30 10:00",,0.5,8.4,24,2,121.221667,24.953278,68
三重,新北市,51,二氧化氮,普通,2,0.72,20,16,32,11,31,73.4,42.2,-,-,"2024-11-30 10:00",,0.6,11.5,27,1,121.493806,25.072611,67
冬山,宜蘭縣,30,,良好,0.9,0.2,23,28,29,9,12,14.7,2.2,1.9,295,"2024-11-30 10:00",,0.1,9.2,28,0,121.792928,24.632203,66
宜蘭,宜蘭縣,30,,良好,1.2,0.22,33,33,19,5,5,6.5,1.2,1.7,211,"2024-11-30 10:00",,0.1,8,22,1,121.746394,24.747917,65
陽明,臺北市,44,,良好,1.4,0.16,46,47,23,0,2,2.1,0.4,3,70,"2024-11-30 10:00",,0.1,2.4,20,1,121.529583,25.182722,64
花蓮,花蓮縣,31,,良好,1.6,0.34,18,20,34,10,9,11.7,2.9,1.3,14,"2024-11-30 10:00",,0.2,9.2,31,1,121.599769,23.971306,63
臺東,臺東縣,34,,良好,1.6,0.24,33,38,35,11,7,8.5,1.8,1.1,313,"2024-11-30 10:00",,0.1,10.6,32,1,121.15045,22.755358,62
恆春,屏東縣,44,,良好,1.1,0.17,46,48,24,8,1,2.1,0.6,7.5,23,"2024-11-30 10:00",,0.1,9.5,23,1,120.788928,21.958069,61
潮州,屏東縣,77,細懸浮微粒,普通,1.6,0.29,39,14,47,29,8,10.6,2.6,0.9,330,"2024-11-30 10:00",,0.2,25.9,46,1,120.561175,22.523108,60
屏東,屏東縣,85,細懸浮微粒,普通,1.3,0.32,37,24,44,20,10,12.9,3,1.5,356,"2024-11-30 10:00",,0.4,29.3,60,1,120.488033,22.673081,59
小港,高雄市,80,細懸浮微粒,普通,3.1,0.49,53,22,54,28,24,28.2,4.3,1.8,301,"2024-11-30 10:00",,0.4,27.2,60,2,120.337736,22.565833,58
前鎮,高雄市,79,細懸浮微粒,普通,1.7,0.44,52,29,57,23,18,22.3,3.8,2,6,"2024-11-30 10:00",,0.4,26.9,59,1,120.30833356,22.6044507,57
前金,高雄市,71,細懸浮微粒,普通,1.5,0.36,46,27,61,24,18,20.9,3,3.4,331,"2024-11-30 10:00",,0.3,23.8,62,1,120.28676111,22.63390278,56
左營,高雄市,80,細懸浮微粒,普通,2.4,0.41,47,24,63,28,18,21.5,3.5,2.3,297,"2024-11-30 10:00",,0.4,27.1,61,2,120.292917,22.674861,54
楠梓,高雄市,84,細懸浮微粒,普通,2.1,0.38,47,20,72,34,20,24.2,4.6,1.4,2,"2024-11-30 10:00",,0.4,28.8,64,1,120.328289,22.733667,53
林園,高雄市,88,細懸浮微粒,普通,7,0.33,41,28,48,28,12,13.2,1.3,1.6,351,"2024-11-30 10:00",,0.3,30.6,65,3,120.41175,22.4795,52
大寮,高雄市,79,細懸浮微粒,普通,4,0.34,44,25,36,23,15,17.6,2.9,1.3,320,"2024-11-30 10:00",,0.3,26.7,39,2,120.425311,22.56413611,51
鳳山,高雄市,91,細懸浮微粒,普通,3.5,0.64,44,26,76,36,30,34.9,5.2,0.5,284,"2024-11-30 10:00",,0.4,31.8,65,2,120.357422,22.628126,50
